document,frequency_in_document,element,element_orig,anomaly
1993,2.578132852002655e-05,1,Alcohol use disorders,1
1993,0.0001127940513108,2,Alzheimer's disease and other dementias,1
1993,0.0022936279254269,3,Cardiovascular diseases,-1
1993,0.0001159623198673,4,Chronic kidney disease,1
1993,0.000585246781603,5,Chronic respiratory diseases,1
1993,0.0001912946949686,6,Cirrhosis and other chronic liver diseases,1
1993,1.1239255335590618e-05,7,Conflict and terrorism,1
1993,0.0001304424036307,8,Diabetes mellitus,1
1993,0.0005014003566067,9,Diarrheal diseases,1
1993,0.0003474911947727,10,Digestive diseases,1
1993,7.98040339399275e-05,11,Drowning,1
1993,1.2828406098772495e-05,12,Drug use disorders,1
1993,1.1970049694442802e-05,13,Environmental heat and cold exposure,1
1993,3.828473805911338e-06,14,Exposure to forces of nature,1
1993,2.2841668348404425e-05,15,"Fire, heat, and hot substances",1
1993,0.0001190453081799,16,HIV/AIDS,1
1993,7.755091556362813e-05,17,Interpersonal violence,1
1993,0.0005781448722171,18,Lower respiratory infections,1
1993,0.0001544747705104,19,Malaria,1
1993,5.2594977975504505e-05,20,Maternal disorders,1
1993,7.539705192496156e-05,21,Meningitis,1
1993,0.0005239512479891,22,Neonatal disorders,1
1993,0.0011048931688777,23,Neoplasms,-1
1993,0.0001207931948592,24,Nutritional deficiencies,1
1993,2.871023908107473e-05,25,Parkinson's disease,1
1993,1.6130865627265346e-05,26,Poisonings,1
1993,0.0001046150309454,27,Protein-energy malnutrition,1
1993,0.0002037846674945,28,Road injuries ,1
1993,0.0001418776601991,29,Self-harm,1
1993,0.0003179575355216,30,Tuberculosis,1
1994,2.8150938608292065e-05,0,Acute hepatitis,1
1994,2.716844660640691e-05,1,Alcohol use disorders,1
1994,0.0001151613414488,2,Alzheimer's disease and other dementias,1
1994,0.002300184176266,3,Cardiovascular diseases,-1
1994,0.0001174902571592,4,Chronic kidney disease,1
1994,0.0005822363439755,5,Chronic respiratory diseases,1
1994,0.0001923542406372,6,Cirrhosis and other chronic liver diseases,1
1994,9.99588492830971e-05,7,Conflict and terrorism,1
1994,0.0001326565503925,8,Diabetes mellitus,1
1994,0.000483882431753,9,Diarrheal diseases,1
1994,0.0003474513038924,10,Digestive diseases,1
1994,7.828681327027021e-05,11,Drowning,1
1994,1.3546700019522544e-05,12,Drug use disorders,1
1994,1.2767628360227555e-05,13,Environmental heat and cold exposure,1
1994,2.245569875624284e-06,14,Exposure to forces of nature,1
1994,2.288673092313746e-05,15,"Fire, heat, and hot substances",1
1994,0.0001412939688455,16,HIV/AIDS,1
1994,7.80433092317009e-05,17,Interpersonal violence,1
1994,0.0005628112904796,18,Lower respiratory infections,1
1994,0.0001510945208024,19,Malaria,1
1994,5.176412030349198e-05,20,Maternal disorders,1
1994,7.306869300648369e-05,21,Meningitis,1
1994,0.0005114653119914,22,Neonatal disorders,1
1994,0.0011117603321964,23,Neoplasms,-1
1994,0.0001147419635724,24,Nutritional deficiencies,1
1994,2.9026423034127184e-05,25,Parkinson's disease,1
1994,1.605060666703e-05,26,Poisonings,1
1994,9.959933208039434e-05,27,Protein-energy malnutrition,1
1994,0.0002037102872104,28,Road injuries ,1
1994,0.0001443864171612,29,Self-harm,1
1994,0.0003096882243562,30,Tuberculosis,1
1995,2.73619729238107e-05,0,Acute hepatitis,1
1995,2.72820664158734e-05,1,Alcohol use disorders,1
1995,0.0001174773641692,2,Alzheimer's disease and other dementias,1
1995,0.0022856485384505,3,Cardiovascular diseases,-1
1995,0.0001190243123817,4,Chronic kidney disease,1
1995,0.0005768057368542,5,Chronic respiratory diseases,1
1995,0.0001922595843917,6,Cirrhosis and other chronic liver diseases,1
1995,1.1700471456352665e-05,7,Conflict and terrorism,1
1995,0.0001346555224932,8,Diabetes mellitus,1
1995,0.0004653836843747,9,Diarrheal diseases,1
1995,0.0003454368783424,10,Digestive diseases,1
1995,7.612931512092529e-05,11,Drowning,1
1995,1.3924448883147862e-05,12,Drug use disorders,1
1995,1.2644900226635556e-05,13,Environmental heat and cold exposure,1
1995,3.337097713834611e-06,14,Exposure to forces of nature,1
1995,2.2374344487201507e-05,15,"Fire, heat, and hot substances",1
1995,0.0001633713797574,16,HIV/AIDS,1
1995,7.733800985863481e-05,17,Interpersonal violence,1
1995,0.0005481647375387,18,Lower respiratory infections,1
1995,0.0001501730529758,19,Malaria,1
1995,5.058151587732068e-05,20,Maternal disorders,1
1995,7.134589220460031e-05,21,Meningitis,1
1995,0.0005002613953391,22,Neonatal disorders,1
1995,0.0011146663648106,23,Neoplasms,1
1995,0.0001258823450041,24,Nutritional deficiencies,1
1995,2.9400372273348463e-05,25,Parkinson's disease,1
1995,1.5729395885966852e-05,26,Poisonings,1
1995,0.0001116051933212,27,Protein-energy malnutrition,1
1995,0.0002024296460195,28,Road injuries ,1
1995,0.0001437833177529,29,Self-harm,1
1995,0.0003026975159794,30,Tuberculosis,1
1996,2.6336282507980893e-05,0,Acute hepatitis,1
1996,2.6842042962386275e-05,1,Alcohol use disorders,1
1996,0.0001196013601386,2,Alzheimer's disease and other dementias,1
1996,0.0022684652541463,3,Cardiovascular diseases,-1
1996,0.0001209677374151,4,Chronic kidney disease,1
1996,0.0005738460091823,5,Chronic respiratory diseases,1
1996,0.0001914612338531,6,Cirrhosis and other chronic liver diseases,1
1996,1.4991522715714662e-05,7,Conflict and terrorism,1
1996,0.0001371738749356,8,Diabetes mellitus,1
1996,0.0004489891009138,9,Diarrheal diseases,1
1996,0.0003425836937039,10,Digestive diseases,1
1996,7.267018917446698e-05,11,Drowning,1
1996,1.4026697952049274e-05,12,Drug use disorders,1
1996,1.1605708838666837e-05,13,Environmental heat and cold exposure,1
1996,2.552150344599585e-06,14,Exposure to forces of nature,1
1996,2.1769330841961917e-05,15,"Fire, heat, and hot substances",1
1996,0.0001822488741302,16,HIV/AIDS,1
1996,7.42800044429528e-05,17,Interpersonal violence,1
1996,0.0005306936207579,18,Lower respiratory infections,1
1996,0.0001497840659259,19,Malaria,1
1996,4.9399371253676326e-05,20,Maternal disorders,1
1996,7.163377510004563e-05,21,Meningitis,1
1996,0.0004877415793974,22,Neonatal disorders,1
1996,0.0011142872785624,23,Neoplasms,1
1996,0.0001153629982586,24,Nutritional deficiencies,1
1996,2.98412402259511e-05,25,Parkinson's disease,1
1996,1.5255390271186852e-05,26,Poisonings,1
1996,0.0001019462687025,27,Protein-energy malnutrition,1
1996,0.0001996275655894,28,Road injuries ,1
1996,0.0001407971181094,29,Self-harm,1
1996,0.0002954394715775,30,Tuberculosis,1
1997,2.5724101972026912e-05,0,Acute hepatitis,1
1997,2.6321387772446515e-05,1,Alcohol use disorders,1
1997,0.0001214794983398,2,Alzheimer's disease and other dementias,1
1997,0.0022590683423842,3,Cardiovascular diseases,-1
1997,0.0001238005641693,4,Chronic kidney disease,1
1997,0.0005727088529732,5,Chronic respiratory diseases,1
1997,0.0001911859857707,6,Cirrhosis and other chronic liver diseases,1
1997,1.6809861187142416e-05,7,Conflict and terrorism,1
1997,0.0001401740189182,8,Diabetes mellitus,1
1997,0.0004367497039973,9,Diarrheal diseases,1
1997,0.0003411758472887,10,Digestive diseases,1
1997,7.000877128507712e-05,11,Drowning,1
1997,1.3983295467039315e-05,12,Drug use disorders,1
1997,1.080821424445151e-05,13,Environmental heat and cold exposure,1
1997,3.023177235353217e-06,14,Exposure to forces of nature,1
1997,2.138408482057989e-05,15,"Fire, heat, and hot substances",1
1997,0.0001988391017028,16,HIV/AIDS,1
1997,7.236455318744092e-05,17,Interpersonal violence,1
1997,0.0005161128481329,18,Lower respiratory infections,1
1997,0.0001512174557248,19,Malaria,1
1997,4.902028034875587e-05,20,Maternal disorders,1
1997,6.788990541185622e-05,21,Meningitis,1
1997,0.0004771388912386,22,Neonatal disorders,1
1997,0.0011153298782854,23,Neoplasms,1
1997,0.0001096828074248,24,Nutritional deficiencies,1
1997,3.037182207197476e-05,25,Parkinson's disease,1
1997,1.4795990266079205e-05,26,Poisonings,1
1997,9.692930767161055e-05,27,Protein-energy malnutrition,1
1997,0.0001981014274905,28,Road injuries ,1
1997,0.0001393128909638,29,Self-harm,1
1997,0.0002922988342457,30,Tuberculosis,1
1998,2.499050116836921e-05,0,Acute hepatitis,1
1998,2.61131797543181e-05,1,Alcohol use disorders,1
1998,0.0001234408414323,2,Alzheimer's disease and other dementias,1
1998,0.00224928195197,3,Cardiovascular diseases,-1
1998,0.0001267681071984,4,Chronic kidney disease,1
1998,0.0005683447137802,5,Chronic respiratory diseases,1
1998,0.0001907348876273,6,Cirrhosis and other chronic liver diseases,1
1998,1.818642396961576e-05,7,Conflict and terrorism,1
1998,0.0001427643137391,8,Diabetes mellitus,1
1998,0.0004251750393848,9,Diarrheal diseases,1
1998,0.0003392932187271,10,Digestive diseases,1
1998,6.803993653688269e-05,11,Drowning,1
1998,1.421719792270168e-05,12,Drug use disorders,1
1998,1.0837131675468468e-05,13,Environmental heat and cold exposure,1
1998,8.042716335178378e-06,14,Exposure to forces of nature,1
1998,2.0843825403003325e-05,15,"Fire, heat, and hot substances",1
1998,0.0002178272155455,16,HIV/AIDS,1
1998,7.218026287729456e-05,17,Interpersonal violence,1
1998,0.0005012294540248,18,Lower respiratory infections,1
1998,0.0001506046839264,19,Malaria,1
1998,4.8339843076254736e-05,20,Maternal disorders,1
1998,6.572724204244624e-05,21,Meningitis,1
1998,0.0004667729627908,22,Neonatal disorders,1
1998,0.001120033382095,23,Neoplasms,1
1998,0.0001036790917136,24,Nutritional deficiencies,1
1998,3.0927881860899e-05,25,Parkinson's disease,1
1998,1.4483205410249026e-05,26,Poisonings,1
1998,9.182321151333634e-05,27,Protein-energy malnutrition,1
1998,0.000196803266982,28,Road injuries ,1
1998,0.0001386584079656,29,Self-harm,1
1998,0.000288114681426,30,Tuberculosis,1
1999,2.4243272513932916e-05,0,Acute hepatitis,1
1999,2.648411425462844e-05,1,Alcohol use disorders,1
1999,0.0001255920146109,2,Alzheimer's disease and other dementias,1
1999,0.0022625696110523,3,Cardiovascular diseases,-1
1999,0.0001295100659583,4,Chronic kidney disease,1
1999,0.0005638979547121,5,Chronic respiratory diseases,1
1999,0.0001910465582725,6,Cirrhosis and other chronic liver diseases,1
1999,2.339287727831831e-05,7,Conflict and terrorism,1
1999,0.0001450340252129,8,Diabetes mellitus,1
1999,0.0004117510832527,9,Diarrheal diseases,1
1999,0.0003387401092485,10,Digestive diseases,1
1999,6.549362523440297e-05,11,Drowning,1
1999,1.440180692217121e-05,12,Drug use disorders,1
1999,1.0450610443489518e-05,13,Environmental heat and cold exposure,1
1999,1.1475635997994146e-05,14,Exposure to forces of nature,1
1999,2.0764517832814887e-05,15,"Fire, heat, and hot substances",1
1999,0.0002374208844575,16,HIV/AIDS,1
1999,7.266237297104706e-05,17,Interpersonal violence,1
1999,0.0004865637672326,18,Lower respiratory infections,1
1999,0.0001473866699339,19,Malaria,1
1999,4.762938884506096e-05,20,Maternal disorders,1
1999,6.433387543954598e-05,21,Meningitis,1
1999,0.0004561563247938,22,Neonatal disorders,1
1999,0.0011308175581148,23,Neoplasms,1
1999,9.78551463123348e-05,24,Nutritional deficiencies,1
1999,3.1584836656806235e-05,25,Parkinson's disease,1
1999,1.4401312218718264e-05,26,Poisonings,1
1999,8.697397896363108e-05,27,Protein-energy malnutrition,1
1999,0.0001971068404723,28,Road injuries ,1
1999,0.0001386571328032,29,Self-harm,1
1999,0.0002834865156878,30,Tuberculosis,1
2000,2.345961502564369e-05,0,Acute hepatitis,1
2000,2.7035756002256827e-05,1,Alcohol use disorders,1
2000,0.0001280403338333,2,Alzheimer's disease and other dementias,1
2000,0.0022718469981604,3,Cardiovascular diseases,-1
2000,0.0001326369039306,4,Chronic kidney disease,1
2000,0.0005615706793883,5,Chronic respiratory diseases,1
2000,0.0001916870162042,6,Cirrhosis and other chronic liver diseases,1
2000,1.9534649738020903e-05,7,Conflict and terrorism,1
2000,0.0001474673900717,8,Diabetes mellitus,1
2000,0.0003972609186751,9,Diarrheal diseases,1
2000,0.0003384964744677,10,Digestive diseases,1
2000,6.309553019306422e-05,11,Drowning,1
2000,1.4599184533110255e-05,12,Drug use disorders,1
2000,1.0653546969473369e-05,13,Environmental heat and cold exposure,1
2000,1.4516169881400074e-06,14,Exposure to forces of nature,1
2000,2.061677013913716e-05,15,"Fire, heat, and hot substances",1
2000,0.0002538277151288,16,HIV/AIDS,1
2000,7.331219221118439e-05,17,Interpersonal violence,1
2000,0.0004713438449566,18,Lower respiratory infections,1
2000,0.000143575467871,19,Malaria,1
2000,4.672048320866359e-05,20,Maternal disorders,1
2000,6.282972053376475e-05,21,Meningitis,1
2000,0.0004458847162415,22,Neonatal disorders,1
2000,0.0011397304533433,23,Neoplasms,1
2000,9.2529432986784e-05,24,Nutritional deficiencies,1
2000,3.231792945842765e-05,25,Parkinson's disease,1
2000,1.4454153053357762e-05,26,Poisonings,1
2000,8.234304690046402e-05,27,Protein-energy malnutrition,1
2000,0.0001973396628903,28,Road injuries ,1
2000,0.0001366077714374,29,Self-harm,1
2000,0.0002790640064748,30,Tuberculosis,1
2001,2.2521518463741804e-05,0,Acute hepatitis,1
2001,2.744612698363152e-05,1,Alcohol use disorders,1
2001,0.0001308974572272,2,Alzheimer's disease and other dementias,1
2001,0.0022796757540171,3,Cardiovascular diseases,-1
2001,0.0001354395906042,4,Chronic kidney disease,1
2001,0.0005569723557987,5,Chronic respiratory diseases,1
2001,0.0001928847857981,6,Cirrhosis and other chronic liver diseases,1
2001,1.0778245947672727e-05,7,Conflict and terrorism,1
2001,0.0001502325399211,8,Diabetes mellitus,1
2001,0.000382228462448,9,Diarrheal diseases,1
2001,0.0003387301108454,10,Digestive diseases,1
2001,6.0411305996977575e-05,11,Drowning,1
2001,1.4033462961733753e-05,12,Drug use disorders,1
2001,1.0725856495333476e-05,13,Environmental heat and cold exposure,1
2001,4.74028121365314e-06,14,Exposure to forces of nature,1
2001,2.0317304573296456e-05,15,"Fire, heat, and hot substances",1
2001,0.0002671000696711,16,HIV/AIDS,1
2001,7.251053752203881e-05,17,Interpersonal violence,1
2001,0.0004548653131895,18,Lower respiratory infections,1
2001,0.0001466758425003,19,Malaria,1
2001,4.539160355976533e-05,20,Maternal disorders,1
2001,6.105331784389571e-05,21,Meningitis,1
2001,0.0004355387477993,22,Neonatal disorders,1
2001,0.001143290357988,23,Neoplasms,1
2001,8.719227978051042e-05,24,Nutritional deficiencies,1
2001,3.313616790073552e-05,25,Parkinson's disease,1
2001,1.4349888825709174e-05,26,Poisonings,1
2001,7.7631847543963e-05,27,Protein-energy malnutrition,1
2001,0.0001967368568796,28,Road injuries ,1
2001,0.0001318968744177,29,Self-harm,1
2001,0.0002703617148388,30,Tuberculosis,1
2002,2.141317942971324e-05,0,Acute hepatitis,1
2002,2.782026499047017e-05,1,Alcohol use disorders,1
2002,0.0001341995300006,2,Alzheimer's disease and other dementias,1
2002,0.0023012088133566,3,Cardiovascular diseases,-1
2002,0.0001387084196658,4,Chronic kidney disease,1
2002,0.0005538615713187,5,Chronic respiratory diseases,1
2002,0.0001948034249054,6,Cirrhosis and other chronic liver diseases,1
2002,1.053893848900612e-05,7,Conflict and terrorism,1
2002,0.0001540112554111,8,Diabetes mellitus,1
2002,0.0003669825826806,9,Diarrheal diseases,1
2002,0.0003402178936053,10,Digestive diseases,1
2002,5.743891269988373e-05,11,Drowning,1
2002,1.3448595731973208e-05,12,Drug use disorders,1
2002,1.1098304860158988e-05,13,Environmental heat and cold exposure,1
2002,1.41357039268929e-06,14,Exposure to forces of nature,1
2002,1.9920107603847327e-05,15,"Fire, heat, and hot substances",1
2002,0.0002770813781944,16,HIV/AIDS,1
2002,7.336522375644726e-05,17,Interpersonal violence,1
2002,0.0004425271930304,18,Lower respiratory infections,1
2002,0.0001474497688633,19,Malaria,1
2002,4.383734415038106e-05,20,Maternal disorders,1
2002,5.907829255247389e-05,21,Meningitis,1
2002,0.000427073447379,22,Neonatal disorders,1
2002,0.0011511034725612,23,Neoplasms,1
2002,8.216004996592398e-05,24,Nutritional deficiencies,1
2002,3.4106273518265506e-05,25,Parkinson's disease,1
2002,1.4268999742997415e-05,26,Poisonings,1
2002,7.332586975359736e-05,27,Protein-energy malnutrition,1
2002,0.0001963112544824,28,Road injuries ,1
2002,0.0001287255151525,29,Self-harm,1
2002,0.0002617501377455,30,Tuberculosis,1
2003,2.039715157525205e-05,0,Acute hepatitis,1
2003,2.8033820803525436e-05,1,Alcohol use disorders,1
2003,0.0001374370096356,2,Alzheimer's disease and other dementias,1
2003,0.002305327731008,3,Cardiovascular diseases,-1
2003,0.000141384395513,4,Chronic kidney disease,1
2003,0.0005471778263162,5,Chronic respiratory diseases,1
2003,0.0001961666959408,6,Cirrhosis and other chronic liver diseases,1
2003,1.1133355126171317e-05,7,Conflict and terrorism,1
2003,0.0001567539543407,8,Diabetes mellitus,1
2003,0.0003514959932879,9,Diarrheal diseases,1
2003,0.0003406465979541,10,Digestive diseases,1
2003,5.449536313200896e-05,11,Drowning,1
2003,1.2889455254878535e-05,12,Drug use disorders,1
2003,1.1275335022352714e-05,13,Environmental heat and cold exposure,1
2003,5.5591554493806834e-06,14,Exposure to forces of nature,1
2003,1.970323658596813e-05,15,"Fire, heat, and hot substances",1
2003,0.0002834026858165,16,HIV/AIDS,1
2003,7.000282737762308e-05,17,Interpersonal violence,1
2003,0.0004304136223809,18,Lower respiratory infections,1
2003,0.0001503880521965,19,Malaria,1
2003,4.222178093672523e-05,20,Maternal disorders,1
2003,5.785304663706705e-05,21,Meningitis,1
2003,0.0004186122095313,22,Neonatal disorders,1
2003,0.0011578255242573,23,Neoplasms,1
2003,6.538973443734515e-05,24,Nutritional deficiencies,1
2003,3.482989382526789e-05,25,Parkinson's disease,1
2003,1.420331778201412e-05,26,Poisonings,1
2003,5.731568563926792e-05,27,Protein-energy malnutrition,1
2003,0.000195608805841,28,Road injuries ,1
2003,0.0001276460383844,29,Self-harm,1
2003,0.0002526587101293,30,Tuberculosis,1
2004,1.9803411786720126e-05,0,Acute hepatitis,1
2004,2.7934769773251916e-05,1,Alcohol use disorders,1
2004,0.0001407097310658,2,Alzheimer's disease and other dementias,1
2004,0.0022822506166779,3,Cardiovascular diseases,-1
2004,0.0001428413918361,4,Chronic kidney disease,1
2004,0.000535948703865,5,Chronic respiratory diseases,1
2004,0.0001960289049913,6,Cirrhosis and other chronic liver diseases,1
2004,1.091166395307138e-05,7,Conflict and terrorism,1
2004,0.0001575782206724,8,Diabetes mellitus,1
2004,0.0003353107189536,9,Diarrheal diseases,1
2004,0.0003386276159236,10,Digestive diseases,1
2004,5.237713228002832e-05,11,Drowning,1
2004,1.2666921688905575e-05,12,Drug use disorders,1
2004,1.039194298693689e-05,13,Environmental heat and cold exposure,1
2004,3.752112978558189e-05,14,Exposure to forces of nature,1
2004,1.913758701116605e-05,15,"Fire, heat, and hot substances",1
2004,0.0002852358050689,16,HIV/AIDS,1
2004,6.823156239583676e-05,17,Interpersonal violence,1
2004,0.0004174272506868,18,Lower respiratory infections,1
2004,0.0001487014856243,19,Malaria,1
2004,4.105749201167091e-05,20,Maternal disorders,1
2004,5.6253371588199336e-05,21,Meningitis,1
2004,0.0004098047796975,22,Neonatal disorders,1
2004,0.0011614794726742,23,Neoplasms,1
2004,6.0972338907270376e-05,24,Nutritional deficiencies,1
2004,3.524057932816924e-05,25,Parkinson's disease,1
2004,1.4154580392444796e-05,26,Poisonings,1
2004,5.347755398021183e-05,27,Protein-energy malnutrition,1
2004,0.0001947865582982,28,Road injuries ,1
2004,0.0001268023199357,29,Self-harm,1
2004,0.0002412135200771,30,Tuberculosis,1
2005,1.959627360506663e-05,0,Acute hepatitis,1
2005,2.777538709279489e-05,1,Alcohol use disorders,1
2005,0.0001445479118087,2,Alzheimer's disease and other dementias,1
2005,0.0022922257895304,3,Cardiovascular diseases,-1
2005,0.0001462046152677,4,Chronic kidney disease,1
2005,0.0005318287138048,5,Chronic respiratory diseases,1
2005,0.0001977982864414,6,Cirrhosis and other chronic liver diseases,1
2005,9.096277240627315e-06,7,Conflict and terrorism,1
2005,0.0001606450528359,8,Diabetes mellitus,1
2005,0.0003249757282128,9,Diarrheal diseases,1
2005,0.0003402912928618,10,Digestive diseases,1
2005,5.085749440137985e-05,11,Drowning,1
2005,1.2991624559815073e-05,12,Drug use disorders,1
2005,1.0452915291790496e-05,13,Environmental heat and cold exposure,1
2005,1.356148897161635e-05,14,Exposure to forces of nature,1
2005,1.898009242374395e-05,15,"Fire, heat, and hot substances",1
2005,0.0002800519775714,16,HIV/AIDS,1
2005,6.663897823688835e-05,17,Interpersonal violence,1
2005,0.0004093329344101,18,Lower respiratory infections,1
2005,0.0001437715326919,19,Malaria,1
2005,4.041741940212994e-05,20,Maternal disorders,1
2005,5.5306350045442185e-05,21,Meningitis,1
2005,0.0004005798292736,22,Neonatal disorders,1
2005,0.0011699322488705,23,Neoplasms,1
2005,5.758871204453148e-05,24,Nutritional deficiencies,1
2005,3.615123220552e-05,25,Parkinson's disease,1
2005,1.4072960624483056e-05,26,Poisonings,1
2005,5.04209244549999e-05,27,Protein-energy malnutrition,1
2005,0.0001940172788701,28,Road injuries ,1
2005,0.0001262832071122,29,Self-harm,1
2005,0.0002342556984798,30,Tuberculosis,1
2006,1.883243967103545e-05,0,Acute hepatitis,1
2006,2.68357396298415e-05,1,Alcohol use disorders,1
2006,0.0001483060851902,2,Alzheimer's disease and other dementias,1
2006,0.0022633986014664,3,Cardiovascular diseases,-1
2006,0.0001482207830873,4,Chronic kidney disease,1
2006,0.0005225988798209,5,Chronic respiratory diseases,1
2006,0.0001963127499289,6,Cirrhosis and other chronic liver diseases,1
2006,1.125610315843774e-05,7,Conflict and terrorism,1
2006,0.000161705158347,8,Diabetes mellitus,1
2006,0.0003184620398379,9,Diarrheal diseases,1
2006,0.0003374832009756,10,Digestive diseases,1
2006,4.829382332245017e-05,11,Drowning,1
2006,1.2896621123960972e-05,12,Drug use disorders,1
2006,9.757654713028383e-06,13,Environmental heat and cold exposure,1
2006,3.0071633386059004e-06,14,Exposure to forces of nature,1
2006,1.830824692519553e-05,15,"Fire, heat, and hot substances",1
2006,0.0002669077134799,16,HIV/AIDS,1
2006,6.452084991314011e-05,17,Interpersonal violence,1
2006,0.0003994744283494,18,Lower respiratory infections,1
2006,0.0001421821490851,19,Malaria,1
2006,3.914249293755921e-05,20,Maternal disorders,1
2006,5.419672884573632e-05,21,Meningitis,1
2006,0.0003905871570407,22,Neonatal disorders,1
2006,0.00116595624783,23,Neoplasms,1
2006,5.472560188394981e-05,24,Nutritional deficiencies,1
2006,3.664955785135273e-05,25,Parkinson's disease,1
2006,1.35666578192483e-05,26,Poisonings,1
